order_id,customer_id,order_date,status,payment_mode,shipping_city,shipping_state
1,145,1/22/2023,Processing,Cash on Delivery,Lucknow,Uttar Pradesh
2,110,12/5/2023,Processing,Credit Card,Hyderabad,Telangana
3,130,11/28/2023,Processing,Credit Card,Hyderabad,Telangana
4,108,9/8/2023,Delivered,Net Banking,Indore,Madhya Pradesh
5,93,11/22/2023,Returned,EMI,Lucknow,Uttar Pradesh
6,40,8/11/2023,Delivered,EMI,Jaipur,Rajasthan
7,134,11/30/2023,Shipped,Cash on Delivery,Bhopal,Madhya Pradesh
8,138,9/5/2023,Returned,Net Banking,Delhi,Delhi
9,188,10/31/2023,Shipped,UPI,Ahmedabad,Gujarat
10,63,2/14/2023,Shipped,Net Banking,Indore,Madhya Pradesh
11,63,8/26/2023,Cancelled,UPI,Indore,Madhya Pradesh
12,8,9/11/2023,Processing,Debit Card,Chennai,Tamil Nadu
13,125,4/19/2023,Processing,UPI,Nagpur,Maharashtra
14,88,5/24/2023,Shipped,Cash on Delivery,Bangalore,Karnataka
15,3,9/22/2023,Delivered,Credit Card,Delhi,Delhi
16,62,7/28/2023,Returned,Cash on Delivery,Lucknow,Uttar Pradesh
17,195,5/4/2023,Returned,EMI,Bangalore,Karnataka
18,183,9/9/2023,Returned,Credit Card,Kolkata,West Bengal
19,24,5/31/2023,Delivered,Net Banking,Indore,Madhya Pradesh
20,178,5/5/2023,Shipped,EMI,Nagpur,Maharashtra
21,149,7/8/2023,Returned,Cash on Delivery,Hyderabad,Telangana
22,136,6/26/2023,Cancelled,EMI,Pune,Maharashtra
23,141,6/19/2023,Processing,EMI,Hyderabad,Telangana
24,117,5/19/2023,Shipped,UPI,Jaipur,Rajasthan
25,60,3/3/2023,Delivered,UPI,Hyderabad,Telangana
26,31,10/2/2023,Delivered,Debit Card,Nagpur,Maharashtra
27,56,9/5/2023,Shipped,EMI,Chandigarh,Punjab
28,151,9/26/2023,Shipped,Credit Card,Chennai,Tamil Nadu
29,50,6/1/2023,Delivered,UPI,Delhi,Delhi
30,46,6/4/2023,Delivered,EMI,Chandigarh,Punjab
31,137,3/6/2023,Shipped,Credit Card,Bangalore,Karnataka
32,14,10/11/2023,Shipped,EMI,Jaipur,Rajasthan
33,33,11/23/2023,Returned,Credit Card,Jaipur,Rajasthan
34,4,10/21/2023,Shipped,Net Banking,Mumbai,Maharashtra
35,123,8/14/2023,Processing,Debit Card,Lucknow,Uttar Pradesh
36,14,5/10/2023,Returned,Credit Card,Jaipur,Rajasthan
37,17,7/25/2023,Returned,Credit Card,Indore,Madhya Pradesh
38,148,11/19/2023,Delivered,Debit Card,Indore,Madhya Pradesh
39,39,10/16/2023,Shipped,Credit Card,Lucknow,Uttar Pradesh
40,64,3/2/2023,Cancelled,Cash on Delivery,Delhi,Delhi
41,153,11/13/2023,Delivered,Cash on Delivery,Bhopal,Madhya Pradesh
42,98,8/19/2023,Returned,UPI,Pune,Maharashtra
43,151,8/8/2023,Shipped,Cash on Delivery,Chennai,Tamil Nadu
44,159,1/31/2023,Delivered,Debit Card,Hyderabad,Telangana
45,161,4/19/2023,Shipped,EMI,Chandigarh,Punjab
46,21,3/22/2023,Delivered,Debit Card,Bangalore,Karnataka
47,142,2/8/2023,Delivered,Credit Card,Mumbai,Maharashtra
48,105,8/19/2023,Returned,UPI,Mumbai,Maharashtra
49,9,4/29/2023,Shipped,EMI,Indore,Madhya Pradesh
50,73,12/26/2023,Returned,Credit Card,Bhopal,Madhya Pradesh
51,176,4/30/2023,Shipped,EMI,Ahmedabad,Gujarat
52,151,12/5/2023,Delivered,Net Banking,Chennai,Tamil Nadu
53,30,10/6/2023,Delivered,EMI,Hyderabad,Telangana
54,39,5/17/2023,Delivered,Credit Card,Lucknow,Uttar Pradesh
55,16,3/26/2023,Shipped,Cash on Delivery,Nagpur,Maharashtra
56,192,10/19/2023,Shipped,Net Banking,Nagpur,Maharashtra
57,32,8/28/2023,Shipped,EMI,Chennai,Tamil Nadu
58,104,5/20/2023,Returned,Net Banking,Indore,Madhya Pradesh
59,21,11/3/2023,Delivered,Net Banking,Bangalore,Karnataka
60,189,6/15/2023,Shipped,Credit Card,Ahmedabad,Gujarat
61,24,4/28/2023,Delivered,EMI,Indore,Madhya Pradesh
62,69,10/23/2023,Delivered,Debit Card,Hyderabad,Telangana
63,121,9/23/2023,Returned,UPI,Hyderabad,Telangana
64,47,10/27/2023,Cancelled,EMI,Hyderabad,Telangana
65,126,2/16/2023,Returned,UPI,Indore,Madhya Pradesh
66,105,6/20/2023,Processing,EMI,Mumbai,Maharashtra
67,27,3/24/2023,Processing,Net Banking,Hyderabad,Telangana
68,178,9/11/2023,Shipped,EMI,Nagpur,Maharashtra
69,103,10/9/2023,Delivered,Net Banking,Bangalore,Karnataka
70,23,6/11/2023,Shipped,UPI,Lucknow,Uttar Pradesh
71,30,7/26/2023,Delivered,EMI,Hyderabad,Telangana
72,139,8/25/2023,Cancelled,Credit Card,Indore,Madhya Pradesh
73,49,9/23/2023,Processing,Cash on Delivery,Lucknow,Uttar Pradesh
74,194,9/13/2023,Returned,Credit Card,Surat,Gujarat
75,53,5/17/2023,Delivered,UPI,Chandigarh,Punjab
76,113,12/24/2023,Returned,Credit Card,Mumbai,Maharashtra
77,8,11/19/2023,Delivered,EMI,Chennai,Tamil Nadu
78,41,6/9/2023,Delivered,Cash on Delivery,Surat,Gujarat
79,105,2/17/2023,Delivered,Credit Card,Mumbai,Maharashtra
80,119,3/2/2023,Delivered,Net Banking,Bangalore,Karnataka
81,184,5/30/2023,Shipped,Net Banking,Chandigarh,Punjab
82,124,8/30/2023,Delivered,Net Banking,Chandigarh,Punjab
83,142,3/16/2023,Cancelled,Debit Card,Mumbai,Maharashtra
84,154,9/18/2023,Delivered,Credit Card,Ahmedabad,Gujarat
85,71,8/1/2023,Processing,Cash on Delivery,Chandigarh,Punjab
86,69,1/2/2023,Shipped,EMI,Hyderabad,Telangana
87,77,10/28/2023,Returned,Debit Card,Delhi,Delhi
88,115,10/3/2023,Returned,UPI,Jaipur,Rajasthan
89,86,10/10/2023,Cancelled,Net Banking,Mumbai,Maharashtra
90,83,4/7/2023,Delivered,Cash on Delivery,Indore,Madhya Pradesh
91,99,4/30/2023,Cancelled,Credit Card,Lucknow,Uttar Pradesh
92,82,8/31/2023,Cancelled,Net Banking,Chennai,Tamil Nadu
93,170,11/30/2023,Delivered,Net Banking,Jaipur,Rajasthan
94,10,3/6/2023,Processing,Credit Card,Bangalore,Karnataka
95,113,2/21/2023,Returned,Credit Card,Mumbai,Maharashtra
96,185,3/15/2023,Cancelled,EMI,Mumbai,Maharashtra
97,40,2/8/2023,Returned,UPI,Jaipur,Rajasthan
98,87,11/16/2023,Cancelled,EMI,Lucknow,Uttar Pradesh
99,21,6/18/2023,Cancelled,UPI,Bangalore,Karnataka
100,161,9/7/2023,Delivered,Cash on Delivery,Chandigarh,Punjab
101,18,5/1/2023,Shipped,Debit Card,Bhopal,Madhya Pradesh
102,192,2/16/2023,Cancelled,Credit Card,Nagpur,Maharashtra
103,195,11/21/2023,Delivered,Net Banking,Bangalore,Karnataka
104,43,12/22/2023,Shipped,Credit Card,Chennai,Tamil Nadu
105,12,6/16/2023,Delivered,UPI,Pune,Maharashtra
106,92,7/11/2023,Cancelled,Debit Card,Hyderabad,Telangana
107,63,9/29/2023,Cancelled,Cash on Delivery,Indore,Madhya Pradesh
108,175,4/3/2023,Delivered,Debit Card,Ahmedabad,Gujarat
109,21,11/9/2023,Cancelled,Cash on Delivery,Bangalore,Karnataka
110,175,5/4/2023,Returned,Cash on Delivery,Ahmedabad,Gujarat
111,37,4/29/2023,Returned,EMI,Bangalore,Karnataka
112,66,8/24/2023,Shipped,EMI,Surat,Gujarat
113,3,8/27/2023,Shipped,EMI,Delhi,Delhi
114,140,3/22/2023,Delivered,Net Banking,Jaipur,Rajasthan
115,89,10/28/2023,Shipped,EMI,Chandigarh,Punjab
116,109,12/20/2023,Shipped,Net Banking,Chennai,Tamil Nadu
117,78,4/12/2023,Cancelled,Net Banking,Chandigarh,Punjab
118,28,5/2/2023,Cancelled,Cash on Delivery,Kolkata,West Bengal
119,92,10/22/2023,Shipped,EMI,Hyderabad,Telangana
120,76,1/12/2023,Cancelled,UPI,Hyderabad,Telangana
121,3,10/17/2023,Delivered,Cash on Delivery,Delhi,Delhi
122,191,9/12/2023,Shipped,Debit Card,Indore,Madhya Pradesh
123,156,6/30/2023,Delivered,EMI,Surat,Gujarat
124,49,11/14/2023,Shipped,EMI,Lucknow,Uttar Pradesh
125,194,12/4/2023,Delivered,EMI,Surat,Gujarat
126,25,11/18/2023,Delivered,UPI,Kolkata,West Bengal
127,113,1/18/2023,Processing,EMI,Mumbai,Maharashtra
128,34,2/16/2023,Shipped,UPI,Kolkata,West Bengal
129,192,8/1/2023,Delivered,Debit Card,Nagpur,Maharashtra
130,34,10/4/2023,Processing,Cash on Delivery,Kolkata,West Bengal
131,129,5/20/2023,Delivered,UPI,Kolkata,West Bengal
132,124,6/1/2023,Processing,Credit Card,Chandigarh,Punjab
133,120,2/8/2023,Delivered,Debit Card,Nagpur,Maharashtra
134,174,12/12/2023,Cancelled,Cash on Delivery,Chandigarh,Punjab
135,94,2/16/2023,Cancelled,Credit Card,Lucknow,Uttar Pradesh
136,68,10/2/2023,Delivered,Net Banking,Hyderabad,Telangana
137,95,12/11/2023,Shipped,Cash on Delivery,Hyderabad,Telangana
138,98,11/23/2023,Processing,Credit Card,Pune,Maharashtra
139,173,4/30/2023,Returned,Credit Card,Ahmedabad,Gujarat
140,159,10/15/2023,Processing,Cash on Delivery,Hyderabad,Telangana
141,57,11/28/2023,Delivered,EMI,Nagpur,Maharashtra
142,119,12/25/2023,Shipped,EMI,Bangalore,Karnataka
143,105,3/1/2023,Delivered,Credit Card,Mumbai,Maharashtra
144,10,6/5/2023,Returned,Credit Card,Bangalore,Karnataka
145,25,5/1/2023,Delivered,Net Banking,Kolkata,West Bengal
146,117,7/9/2023,Cancelled,Cash on Delivery,Jaipur,Rajasthan
