item_id,order_id,product_id,quantity,unit_price,discount_percent,final_price,total_amount,profit
1,1,13,3,2999,5,2849.05,8547.15,2887.53
2,1,8,1,12999,20,10399.2,10399.2,1876.7
3,2,22,2,8999,0,8999,17998,6328.52
4,2,7,3,3499,20,2799.2,8397.6,1126.65
5,3,8,1,12999,10,11699.1,11699.1,3176.6
6,3,29,3,14999,0,14999,44997,15719.4
7,4,1,2,18999,5,18049.05,36098.1,13750.8
8,4,34,3,249,20,199.2,597.6,99.87
9,4,4,3,42000,0,42000,126000,55837.68
10,4,28,1,1899,0,1899,1899,790.52
11,5,9,1,17999,10,16199.1,16199.1,5569.74
12,5,7,1,3499,0,3499,3499,1075.35
13,6,25,3,3499,15,2974.15,8922.45,1528.74
14,6,27,2,1499,0,1499,2998,869.28
15,7,22,3,8999,5,8549.05,25647.15,8142.93
16,8,9,1,17999,15,15299.15,15299.15,4669.79
17,8,27,1,1499,0,1499,1499,434.64
18,8,33,2,299,10,269.1,538.2,178.64
19,9,13,1,2999,0,2999,2999,1112.46
20,9,14,1,699,15,594.15,594.15,179.25
21,10,12,1,1199,15,1019.15,1019.15,166.52
22,11,21,2,4999,20,3999.2,7998.4,1970.84
23,12,31,1,599,15,509.15,509.15,154.97
24,13,35,2,299,5,284.05,568.1,157.32
25,13,19,2,18999,10,17099.1,34198.2,8275.02
26,14,25,1,3499,15,2974.15,2974.15,509.58
27,15,18,2,24999,0,24999,49998,16393.3
28,16,17,1,7999,10,7199.1,7199.1,1489.13
29,16,10,1,2499,20,1999.2,1999.2,423.57
30,16,4,1,42000,10,37800,37800,14412.56
31,16,19,2,18999,15,16149.15,32298.3,6375.12
32,17,15,1,1399,20,1119.2,1119.2,262.02
33,17,25,2,3499,15,2974.15,5948.3,1019.16
34,18,4,3,42000,5,39900,119700,49537.68
35,19,21,3,4999,0,4999,14997,5955.66
36,20,17,1,7999,20,6399.2,6399.2,689.23
37,21,29,3,14999,15,12749.15,38247.45,8969.85
38,21,15,2,1399,0,1399,2798,1083.64
39,22,35,2,299,0,299,598,187.22
40,23,13,1,2999,15,2549.15,2549.15,662.61
41,23,19,1,18999,0,18999,18999,6037.41
42,24,8,1,12999,0,12999,12999,4476.5
43,24,25,1,3499,0,3499,3499,1034.43
44,25,17,1,7999,5,7599.05,7599.05,1889.08
45,26,10,1,2499,0,2499,2499,923.37
46,26,3,1,55000,20,44000,44000,4799.38
47,27,20,1,32000,15,27200,27200,8709.11
48,27,32,1,349,0,349,349,115.69
49,27,23,3,21000,10,18900,56700,12101.61
50,28,33,1,299,10,269.1,269.1,89.32
51,29,6,1,1299,0,1299,1299,529.94
52,29,23,1,21000,0,21000,21000,6133.87
53,30,14,3,699,10,629.1,1887.3,642.6
54,31,1,1,18999,5,18049.05,18049.05,6875.4
55,31,8,1,12999,15,11049.15,11049.15,2526.65
56,32,16,1,3499,0,3499,3499,1214.15
